measure,count,table,date
Drop-in Center Clients Served,229,single_adults,2024-11-18
Drop-in Center Overnight Census,129,single_adults,2024-11-18
Faith Bed Census,0,single_adults,2024-11-18
Outreach Contacts,379,single_adults,2024-11-18
Outreach Placements,56,single_adults,2024-11-18
Safe Haven Utilization,1993,single_adults,2024-11-18
Veterans In Short-term Housing,165,single_adults,2024-11-18
Criminal Justice Short-term Housing,NA,single_adults,2024-11-18
Families with Children Requesting Temporary Housing,209,family_intake,2024-11-18
Adult Families Requesting Temporary Housing,21,family_intake,2024-11-18
Families Placed in Overnight Accommodations,0,family_intake,2024-11-18
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-11-18
Adults,54563,total_shelter_census,2024-11-18
Children,32912,total_shelter_census,2024-11-18
Total Individuals,87475,total_shelter_census,2024-11-18
Men,16018,total_single_adults,2024-11-18
Women,5456,total_single_adults,2024-11-18
Total Single Adults,21474,total_single_adults,2024-11-18
Families,19150,families_with_children,2024-11-18
Adults,29011,families_with_children,2024-11-18
Children,32912,families_with_children,2024-11-18
Individuals,61923,families_with_children,2024-11-18
Families,1894,adult_families_census,2024-11-18
Individuals (Adults),4078,adult_families_census,2024-11-18
Single Adults,23761,combined_total_single_adults,2024-11-18
Total Individuals,89762,combined_total_shelter_census,2024-11-18
Drop-in Center Clients Served,214,single_adults,2024-11-17
Drop-in Center Overnight Census,184,single_adults,2024-11-17
Faith Bed Census,0,single_adults,2024-11-17
Outreach Contacts,205,single_adults,2024-11-17
Outreach Placements,32,single_adults,2024-11-17
Safe Haven Utilization,1990,single_adults,2024-11-17
Veterans In Short-term Housing,160,single_adults,2024-11-17
Criminal Justice Short-term Housing,NA,single_adults,2024-11-17
Families with Children Requesting Temporary Housing,101,family_intake,2024-11-17
Adult Families Requesting Temporary Housing,23,family_intake,2024-11-17
Families Placed in Overnight Accommodations,0,family_intake,2024-11-17
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-11-17
Adults,54611,total_shelter_census,2024-11-17
Children,33004,total_shelter_census,2024-11-17
Total Individuals,87615,total_shelter_census,2024-11-17
Men,16027,total_single_adults,2024-11-17
Women,5450,total_single_adults,2024-11-17
Total Single Adults,21477,total_single_adults,2024-11-17
Families,19193,families_with_children,2024-11-17
Adults,29056,families_with_children,2024-11-17
Children,33004,families_with_children,2024-11-17
Individuals,62060,families_with_children,2024-11-17
Families,1894,adult_families_census,2024-11-17
Individuals (Adults),4078,adult_families_census,2024-11-17
Single Adults,23811,combined_total_single_adults,2024-11-17
Total Individuals,89949,combined_total_shelter_census,2024-11-17
Drop-in Center Clients Served,235,single_adults,2024-11-14
Drop-in Center Overnight Census,186,single_adults,2024-11-14
Faith Bed Census,0,single_adults,2024-11-14
Outreach Contacts,434,single_adults,2024-11-14
Outreach Placements,44,single_adults,2024-11-14
Safe Haven Utilization,1985,single_adults,2024-11-14
Veterans In Short-term Housing,165,single_adults,2024-11-14
Criminal Justice Short-term Housing,NA,single_adults,2024-11-14
Families with Children Requesting Temporary Housing,167,family_intake,2024-11-14
Adult Families Requesting Temporary Housing,26,family_intake,2024-11-14
Families Placed in Overnight Accommodations,0,family_intake,2024-11-14
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-11-14
Adults,54703,total_shelter_census,2024-11-14
Children,32966,total_shelter_census,2024-11-14
Total Individuals,87669,total_shelter_census,2024-11-14
Men,16090,total_single_adults,2024-11-14
Women,5479,total_single_adults,2024-11-14
Total Single Adults,21569,total_single_adults,2024-11-14
Families,19195,families_with_children,2024-11-14
Adults,29049,families_with_children,2024-11-14
Children,32966,families_with_children,2024-11-14
Individuals,62015,families_with_children,2024-11-14
Families,1897,adult_families_census,2024-11-14
Individuals (Adults),4085,adult_families_census,2024-11-14
Single Adults,23905,combined_total_single_adults,2024-11-14
Total Individuals,90005,combined_total_shelter_census,2024-11-14
Drop-in Center Clients Served,662,single_adults,2024-11-13
Drop-in Center Overnight Census,329,single_adults,2024-11-13
Faith Bed Census,20,single_adults,2024-11-13
Outreach Contacts,443,single_adults,2024-11-13
Outreach Placements,62,single_adults,2024-11-13
Safe Haven Utilization,1985,single_adults,2024-11-13
Veterans In Short-term Housing,166,single_adults,2024-11-13
Criminal Justice Short-term Housing,NA,single_adults,2024-11-13
Families with Children Requesting Temporary Housing,187,family_intake,2024-11-13
Adult Families Requesting Temporary Housing,23,family_intake,2024-11-13
Families Placed in Overnight Accommodations,0,family_intake,2024-11-13
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-11-13
Adults,54688,total_shelter_census,2024-11-13
Children,32945,total_shelter_census,2024-11-13
Total Individuals,87633,total_shelter_census,2024-11-13
Men,16110,total_single_adults,2024-11-13
Women,5464,total_single_adults,2024-11-13
Total Single Adults,21574,total_single_adults,2024-11-13
Families,19185,families_with_children,2024-11-13
Adults,29019,families_with_children,2024-11-13
Children,32945,families_with_children,2024-11-13
Individuals,61964,families_with_children,2024-11-13
Families,1901,adult_families_census,2024-11-13
Individuals (Adults),4095,adult_families_census,2024-11-13
Single Adults,24074,combined_total_single_adults,2024-11-13
Total Individuals,90133,combined_total_shelter_census,2024-11-13
Drop-in Center Clients Served,423,single_adults,2024-11-12
Drop-in Center Overnight Census,250,single_adults,2024-11-12
Faith Bed Census,20,single_adults,2024-11-12
Outreach Contacts,490,single_adults,2024-11-12
Outreach Placements,54,single_adults,2024-11-12
Safe Haven Utilization,1984,single_adults,2024-11-12
Veterans In Short-term Housing,168,single_adults,2024-11-12
Criminal Justice Short-term Housing,NA,single_adults,2024-11-12
Families with Children Requesting Temporary Housing,190,family_intake,2024-11-12
Adult Families Requesting Temporary Housing,25,family_intake,2024-11-12
Families Placed in Overnight Accommodations,0,family_intake,2024-11-12
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-11-12
Adults,54609,total_shelter_census,2024-11-12
Children,32883,total_shelter_census,2024-11-12
Total Individuals,87492,total_shelter_census,2024-11-12
Men,16097,total_single_adults,2024-11-12
Women,5485,total_single_adults,2024-11-12
Total Single Adults,21582,total_single_adults,2024-11-12
Families,19140,families_with_children,2024-11-12
Adults,28955,families_with_children,2024-11-12
Children,32883,families_with_children,2024-11-12
Individuals,61838,families_with_children,2024-11-12
Families,1890,adult_families_census,2024-11-12
Individuals (Adults),4072,adult_families_census,2024-11-12
Single Adults,24004,combined_total_single_adults,2024-11-12
Total Individuals,89914,combined_total_shelter_census,2024-11-12
Drop-in Center Clients Served,286,single_adults,2024-11-11
Drop-in Center Overnight Census,111,single_adults,2024-11-11
Faith Bed Census,19,single_adults,2024-11-11
Outreach Contacts,299,single_adults,2024-11-11
Outreach Placements,47,single_adults,2024-11-11
Safe Haven Utilization,1994,single_adults,2024-11-11
Veterans In Short-term Housing,165,single_adults,2024-11-11
Criminal Justice Short-term Housing,NA,single_adults,2024-11-11
Families with Children Requesting Temporary Housing,175,family_intake,2024-11-11
Adult Families Requesting Temporary Housing,29,family_intake,2024-11-11
Families Placed in Overnight Accommodations,0,family_intake,2024-11-11
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-11-11
Adults,54577,total_shelter_census,2024-11-11
Children,32872,total_shelter_census,2024-11-11
Total Individuals,87449,total_shelter_census,2024-11-11
Men,16110,total_single_adults,2024-11-11
Women,5467,total_single_adults,2024-11-11
Total Single Adults,21577,total_single_adults,2024-11-11
Families,19127,families_with_children,2024-11-11
Adults,28944,families_with_children,2024-11-11
Children,32872,families_with_children,2024-11-11
Individuals,61816,families_with_children,2024-11-11
Families,1882,adult_families_census,2024-11-11
Individuals (Adults),4056,adult_families_census,2024-11-11
Single Adults,23866,combined_total_single_adults,2024-11-11
Total Individuals,89738,combined_total_shelter_census,2024-11-11
Drop-in Center Clients Served,391,single_adults,2024-11-07
Drop-in Center Overnight Census,149,single_adults,2024-11-07
Faith Bed Census,11,single_adults,2024-11-07
Outreach Contacts,399,single_adults,2024-11-07
Outreach Placements,40,single_adults,2024-11-07
Safe Haven Utilization,1977,single_adults,2024-11-07
Veterans In Short-term Housing,168,single_adults,2024-11-07
Criminal Justice Short-term Housing,NA,single_adults,2024-11-07
Families with Children Requesting Temporary Housing,170,family_intake,2024-11-07
Adult Families Requesting Temporary Housing,25,family_intake,2024-11-07
Families Placed in Overnight Accommodations,0,family_intake,2024-11-07
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-11-07
Adults,54515,total_shelter_census,2024-11-07
Children,32820,total_shelter_census,2024-11-07
Total Individuals,87335,total_shelter_census,2024-11-07
Men,16084,total_single_adults,2024-11-07
Women,5448,total_single_adults,2024-11-07
Total Single Adults,21532,total_single_adults,2024-11-07
Families,19108,families_with_children,2024-11-07
Adults,28925,families_with_children,2024-11-07
Children,32820,families_with_children,2024-11-07
Individuals,61745,families_with_children,2024-11-07
Families,1884,adult_families_census,2024-11-07
Individuals (Adults),4058,adult_families_census,2024-11-07
Single Adults,23837,combined_total_single_adults,2024-11-07
Total Individuals,89640,combined_total_shelter_census,2024-11-07
Drop-in Center Clients Served,356,single_adults,2024-11-05
Drop-in Center Overnight Census,171,single_adults,2024-11-05
Faith Bed Census,17,single_adults,2024-11-05
Outreach Contacts,397,single_adults,2024-11-05
Outreach Placements,30,single_adults,2024-11-05
Safe Haven Utilization,1970,single_adults,2024-11-05
Veterans In Short-term Housing,166,single_adults,2024-11-05
Criminal Justice Short-term Housing,NA,single_adults,2024-11-05
Families with Children Requesting Temporary Housing,183,family_intake,2024-11-05
Adult Families Requesting Temporary Housing,19,family_intake,2024-11-05
Families Placed in Overnight Accommodations,0,family_intake,2024-11-05
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-11-05
Adults,54498,total_shelter_census,2024-11-05
Children,32727,total_shelter_census,2024-11-05
Total Individuals,87225,total_shelter_census,2024-11-05
Men,16092,total_single_adults,2024-11-05
Women,5465,total_single_adults,2024-11-05
Total Single Adults,21557,total_single_adults,2024-11-05
Families,19060,families_with_children,2024-11-05
Adults,28873,families_with_children,2024-11-05
Children,32727,families_with_children,2024-11-05
Individuals,61600,families_with_children,2024-11-05
Families,1890,adult_families_census,2024-11-05
Individuals (Adults),4068,adult_families_census,2024-11-05
Single Adults,23881,combined_total_single_adults,2024-11-05
Total Individuals,89549,combined_total_shelter_census,2024-11-05
Drop-in Center Clients Served,432,single_adults,2024-11-03
Drop-in Center Overnight Census,272,single_adults,2024-11-03
Faith Bed Census,15,single_adults,2024-11-03
Outreach Contacts,215,single_adults,2024-11-03
Outreach Placements,53,single_adults,2024-11-03
Safe Haven Utilization,1977,single_adults,2024-11-03
Veterans In Short-term Housing,163,single_adults,2024-11-03
Criminal Justice Short-term Housing,NA,single_adults,2024-11-03
Families with Children Requesting Temporary Housing,91,family_intake,2024-11-03
Adult Families Requesting Temporary Housing,18,family_intake,2024-11-03
Families Placed in Overnight Accommodations,0,family_intake,2024-11-03
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-11-03
Adults,54462,total_shelter_census,2024-11-03
Children,32703,total_shelter_census,2024-11-03
Total Individuals,87165,total_shelter_census,2024-11-03
Men,16102,total_single_adults,2024-11-03
Women,5445,total_single_adults,2024-11-03
Total Single Adults,21547,total_single_adults,2024-11-03
Families,19051,families_with_children,2024-11-03
Adults,28874,families_with_children,2024-11-03
Children,32703,families_with_children,2024-11-03
Individuals,61577,families_with_children,2024-11-03
Families,1878,adult_families_census,2024-11-03
Individuals (Adults),4041,adult_families_census,2024-11-03
Single Adults,23974,combined_total_single_adults,2024-11-03
Total Individuals,89592,combined_total_shelter_census,2024-11-03
Drop-in Center Clients Served,431,single_adults,2024-10-30
Drop-in Center Overnight Census,247,single_adults,2024-10-30
Faith Bed Census,18,single_adults,2024-10-30
Outreach Contacts,311,single_adults,2024-10-30
Outreach Placements,33,single_adults,2024-10-30
Safe Haven Utilization,1980,single_adults,2024-10-30
