date_of_census,measure,count,table
2025-04-11,total_individuals_in_shelter,84969,DHS daily census
2025-04-11,total_single_adults_in_shelter,21962,DHS daily census
2025-04-11,families_with_children_in_shelter,18143,DHS daily census
2025-04-11,adult_families_in_shelter,1963,DHS daily census
2025-04-10,total_individuals_in_shelter,85017,DHS daily census
2025-04-10,total_single_adults_in_shelter,21930,DHS daily census
2025-04-10,families_with_children_in_shelter,18181,DHS daily census
2025-04-10,adult_families_in_shelter,1970,DHS daily census
2025-04-09,total_individuals_in_shelter,84999,DHS daily census
2025-04-09,total_single_adults_in_shelter,21962,DHS daily census
2025-04-09,families_with_children_in_shelter,18161,DHS daily census
2025-04-09,adult_families_in_shelter,1971,DHS daily census
2025-04-08,total_individuals_in_shelter,84894,DHS daily census
2025-04-08,total_single_adults_in_shelter,21980,DHS daily census
2025-04-08,families_with_children_in_shelter,18132,DHS daily census
2025-04-08,adult_families_in_shelter,1956,DHS daily census
2025-04-07,total_individuals_in_shelter,84822,DHS daily census
2025-04-07,total_single_adults_in_shelter,21961,DHS daily census
2025-04-07,families_with_children_in_shelter,18111,DHS daily census
2025-04-07,adult_families_in_shelter,1951,DHS daily census
2025-04-06,total_individuals_in_shelter,84806,DHS daily census
2025-04-06,total_single_adults_in_shelter,21905,DHS daily census
2025-04-06,families_with_children_in_shelter,18119,DHS daily census
2025-04-06,adult_families_in_shelter,1949,DHS daily census
2025-04-05,total_individuals_in_shelter,84692,DHS daily census
2025-04-05,total_single_adults_in_shelter,21912,DHS daily census
2025-04-05,families_with_children_in_shelter,18098,DHS daily census
2025-04-05,adult_families_in_shelter,1938,DHS daily census
2025-04-04,total_individuals_in_shelter,84533,DHS daily census
2025-04-04,total_single_adults_in_shelter,21804,DHS daily census
2025-04-04,families_with_children_in_shelter,18084,DHS daily census
2025-04-04,adult_families_in_shelter,1935,DHS daily census
2025-04-03,total_individuals_in_shelter,84588,DHS daily census
2025-04-03,total_single_adults_in_shelter,21941,DHS daily census
2025-04-03,families_with_children_in_shelter,18073,DHS daily census
2025-04-03,adult_families_in_shelter,1930,DHS daily census
2025-04-02,total_individuals_in_shelter,84695,DHS daily census
2025-04-02,total_single_adults_in_shelter,21965,DHS daily census
2025-04-02,families_with_children_in_shelter,18097,DHS daily census
2025-04-02,adult_families_in_shelter,1940,DHS daily census
2025-04-01,total_individuals_in_shelter,84602,DHS daily census
2025-04-01,total_single_adults_in_shelter,21938,DHS daily census
2025-04-01,families_with_children_in_shelter,18065,DHS daily census
2025-04-01,adult_families_in_shelter,1946,DHS daily census
2025-03-31,total_individuals_in_shelter,84612,DHS daily census
2025-03-31,total_single_adults_in_shelter,21884,DHS daily census
2025-03-31,families_with_children_in_shelter,18090,DHS daily census
2025-03-31,adult_families_in_shelter,1939,DHS daily census
2025-03-30,total_individuals_in_shelter,84721,DHS daily census
2025-03-30,total_single_adults_in_shelter,21891,DHS daily census
2025-03-30,families_with_children_in_shelter,18120,DHS daily census
2025-03-30,adult_families_in_shelter,1943,DHS daily census
2025-03-29,total_individuals_in_shelter,84587,DHS daily census
2025-03-29,total_single_adults_in_shelter,21826,DHS daily census
2025-03-29,families_with_children_in_shelter,18106,DHS daily census
2025-03-29,adult_families_in_shelter,1936,DHS daily census
2025-03-28,total_individuals_in_shelter,84574,DHS daily census
2025-03-28,total_single_adults_in_shelter,21861,DHS daily census
2025-03-28,families_with_children_in_shelter,18086,DHS daily census
2025-03-28,adult_families_in_shelter,1935,DHS daily census
2025-03-27,total_individuals_in_shelter,84566,DHS daily census
2025-03-27,total_single_adults_in_shelter,21898,DHS daily census
2025-03-27,families_with_children_in_shelter,18077,DHS daily census
2025-03-27,adult_families_in_shelter,1929,DHS daily census
2025-03-26,total_individuals_in_shelter,84638,DHS daily census
2025-03-26,total_single_adults_in_shelter,21953,DHS daily census
2025-03-26,families_with_children_in_shelter,18083,DHS daily census
2025-03-26,adult_families_in_shelter,1924,DHS daily census
2025-03-25,total_individuals_in_shelter,84670,DHS daily census
2025-03-25,total_single_adults_in_shelter,21899,DHS daily census
2025-03-25,families_with_children_in_shelter,18104,DHS daily census
2025-03-25,adult_families_in_shelter,1932,DHS daily census
2025-03-24,total_individuals_in_shelter,84744,DHS daily census
2025-03-24,total_single_adults_in_shelter,21893,DHS daily census
2025-03-24,families_with_children_in_shelter,18129,DHS daily census
2025-03-24,adult_families_in_shelter,1937,DHS daily census
2025-03-23,total_individuals_in_shelter,84828,DHS daily census
2025-03-23,total_single_adults_in_shelter,21912,DHS daily census
2025-03-23,families_with_children_in_shelter,18150,DHS daily census
2025-03-23,adult_families_in_shelter,1937,DHS daily census
2025-03-22,total_individuals_in_shelter,84722,DHS daily census
2025-03-22,total_single_adults_in_shelter,21849,DHS daily census
2025-03-22,families_with_children_in_shelter,18141,DHS daily census
2025-03-22,adult_families_in_shelter,1943,DHS daily census
2025-03-21,total_individuals_in_shelter,84757,DHS daily census
2025-03-21,total_single_adults_in_shelter,21886,DHS daily census
2025-03-21,families_with_children_in_shelter,18138,DHS daily census
2025-03-21,adult_families_in_shelter,1940,DHS daily census
2025-03-20,total_individuals_in_shelter,84704,DHS daily census
2025-03-20,total_single_adults_in_shelter,21902,DHS daily census
2025-03-20,families_with_children_in_shelter,18119,DHS daily census
2025-03-20,adult_families_in_shelter,1929,DHS daily census
2025-03-19,total_individuals_in_shelter,84785,DHS daily census
2025-03-19,total_single_adults_in_shelter,21907,DHS daily census
2025-03-19,families_with_children_in_shelter,18142,DHS daily census
2025-03-19,adult_families_in_shelter,1937,DHS daily census
2025-03-18,total_individuals_in_shelter,84796,DHS daily census
2025-03-18,total_single_adults_in_shelter,21919,DHS daily census
2025-03-18,families_with_children_in_shelter,18140,DHS daily census
2025-03-18,adult_families_in_shelter,1944,DHS daily census
2025-03-17,total_individuals_in_shelter,84824,DHS daily census
2025-03-17,total_single_adults_in_shelter,21913,DHS daily census
2025-03-17,families_with_children_in_shelter,18148,DHS daily census
2025-03-17,adult_families_in_shelter,1957,DHS daily census
2025-03-16,total_individuals_in_shelter,84698,DHS daily census
2025-03-16,total_single_adults_in_shelter,21861,DHS daily census
2025-03-16,families_with_children_in_shelter,18135,DHS daily census
2025-03-16,adult_families_in_shelter,1948,DHS daily census
2025-03-15,total_individuals_in_shelter,84673,DHS daily census
2025-03-15,total_single_adults_in_shelter,21851,DHS daily census
2025-03-15,families_with_children_in_shelter,18134,DHS daily census
2025-03-15,adult_families_in_shelter,1945,DHS daily census
2025-03-14,total_individuals_in_shelter,84477,DHS daily census
2025-03-14,total_single_adults_in_shelter,21813,DHS daily census
2025-03-14,families_with_children_in_shelter,18086,DHS daily census
2025-03-14,adult_families_in_shelter,1946,DHS daily census
2025-03-13,total_individuals_in_shelter,84456,DHS daily census
2025-03-13,total_single_adults_in_shelter,21805,DHS daily census
2025-03-13,families_with_children_in_shelter,18093,DHS daily census
2025-03-13,adult_families_in_shelter,1944,DHS daily census
2025-03-12,total_individuals_in_shelter,84515,DHS daily census
2025-03-12,total_single_adults_in_shelter,21832,DHS daily census
2025-03-12,families_with_children_in_shelter,18105,DHS daily census
2025-03-12,adult_families_in_shelter,1942,DHS daily census
2025-03-11,total_individuals_in_shelter,84526,DHS daily census
2025-03-11,total_single_adults_in_shelter,21885,DHS daily census
2025-03-11,families_with_children_in_shelter,18093,DHS daily census
2025-03-11,adult_families_in_shelter,1946,DHS daily census
2025-03-10,total_individuals_in_shelter,84604,DHS daily census
2025-03-10,total_single_adults_in_shelter,21882,DHS daily census
2025-03-10,families_with_children_in_shelter,18103,DHS daily census
2025-03-10,adult_families_in_shelter,1959,DHS daily census
2025-03-09,total_individuals_in_shelter,84688,DHS daily census
2025-03-09,total_single_adults_in_shelter,21912,DHS daily census
2025-03-09,families_with_children_in_shelter,18130,DHS daily census
2025-03-09,adult_families_in_shelter,1951,DHS daily census
2025-03-08,total_individuals_in_shelter,84632,DHS daily census
2025-03-08,total_single_adults_in_shelter,21857,DHS daily census
2025-03-08,families_with_children_in_shelter,18133,DHS daily census
2025-03-08,adult_families_in_shelter,1959,DHS daily census
2025-03-07,total_individuals_in_shelter,84648,DHS daily census
2025-03-07,total_single_adults_in_shelter,21874,DHS daily census
2025-03-07,families_with_children_in_shelter,18131,DHS daily census
2025-03-07,adult_families_in_shelter,1958,DHS daily census
2025-03-06,total_individuals_in_shelter,84533,DHS daily census
2025-03-06,total_single_adults_in_shelter,21908,DHS daily census
2025-03-06,families_with_children_in_shelter,18090,DHS daily census
2025-03-06,adult_families_in_shelter,1953,DHS daily census
2025-03-05,total_individuals_in_shelter,84533,DHS daily census
2025-03-05,total_single_adults_in_shelter,21955,DHS daily census
2025-03-05,families_with_children_in_shelter,18076,DHS daily census
2025-03-05,adult_families_in_shelter,1954,DHS daily census
2025-03-04,total_individuals_in_shelter,84629,DHS daily census
2025-03-04,total_single_adults_in_shelter,21876,DHS daily census
2025-03-04,families_with_children_in_shelter,18125,DHS daily census
2025-03-04,adult_families_in_shelter,1954,DHS daily census
2025-03-03,total_individuals_in_shelter,84746,DHS daily census
2025-03-03,total_single_adults_in_shelter,21899,DHS daily census
2025-03-03,families_with_children_in_shelter,18141,DHS daily census
2025-03-03,adult_families_in_shelter,1956,DHS daily census
2025-03-02,total_individuals_in_shelter,84843,DHS daily census
2025-03-02,total_single_adults_in_shelter,21908,DHS daily census
2025-03-02,families_with_children_in_shelter,18173,DHS daily census
2025-03-02,adult_families_in_shelter,1956,DHS daily census
2025-03-01,total_individuals_in_shelter,84760,DHS daily census
2025-03-01,total_single_adults_in_shelter,21859,DHS daily census
2025-03-01,families_with_children_in_shelter,18176,DHS daily census
2025-03-01,adult_families_in_shelter,1948,DHS daily census
2025-02-28,total_individuals_in_shelter,84633,DHS daily census
2025-02-28,total_single_adults_in_shelter,21857,DHS daily census
2025-02-28,families_with_children_in_shelter,18144,DHS daily census
2025-02-28,adult_families_in_shelter,1944,DHS daily census
2025-02-27,total_individuals_in_shelter,84796,DHS daily census
