facility_or_program_type,agency,report_date,date,series,exits,category,housing_category,notes
A private rental market apartment with no rental subsidy,DHS,05_2023,2023-04-01,families_with_children,27,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,DHS,05_2023,2023-04-01,adult_families,0,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,DHS,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,DHS,05_2023,2023-03-01,total_single_adults,68,Private market,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DHS,05_2023,2023-04-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DHS,05_2023,2023-04-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DHS,05_2023,2023-05-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DHS,05_2023,2023-03-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DHS,05_2023,2023-04-01,families_with_children,32,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DHS,05_2023,2023-04-01,adult_families,0,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DHS,05_2023,2023-05-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DHS,05_2023,2023-03-01,total_single_adults,15,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DHS,05_2023,2023-04-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DHS,05_2023,2023-04-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DHS,05_2023,2023-05-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DHS,05_2023,2023-03-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
Housing of friends or family,DHS,05_2023,2023-04-01,families_with_children,59,Family or friends,Permanent Housing,NA
Housing of friends or family,DHS,05_2023,2023-04-01,adult_families,0,Family or friends,Permanent Housing,NA
Housing of friends or family,DHS,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Family or friends,Permanent Housing,NA
Housing of friends or family,DHS,05_2023,2023-03-01,total_single_adults,94,Family or friends,Permanent Housing,NA
Moved back to vacated building,DHS,05_2023,2023-04-01,families_with_children,NA,Other,Other,NA
Moved back to vacated building,DHS,05_2023,2023-04-01,adult_families,NA,Other,Other,NA
Moved back to vacated building,DHS,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Other,Other,NA
Moved back to vacated building,DHS,05_2023,2023-03-01,total_single_adults,NA,Other,Other,NA
Other affordable housing- 421-a affordable housing,DHS,05_2023,2023-04-01,families_with_children,0,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,DHS,05_2023,2023-04-01,adult_families,0,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,DHS,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,DHS,05_2023,2023-03-01,total_single_adults,0,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DHS,05_2023,2023-04-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DHS,05_2023,2023-04-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DHS,05_2023,2023-05-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
